Body 1: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.001, Fz =  0.000
Body 2: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.002, Fz =  0.000
Body 3: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.001, Fz = -0.001
Body 4: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.004, Fz = -0.000
Body 5: x =  8.344, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.000
Body 6: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.000, Fz = -0.001
Body 7: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.000, Fz =  0.002
Body 8: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.002, Fz = -0.000
Body 9: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz = -0.000
Body 10: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.002, Fz = -0.000
Body 11: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.000, Fz =  0.001
Body 12: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.000
Body 13: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.001, Fz = -0.001
Body 14: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.000, Fz = -0.002
Body 15: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.003, Fz =  0.000
Body 16: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.001
Body 17: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.003, Fz =  0.000
Body 18: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz = -0.002
Body 19: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.001, Fz =  0.003
Body 20: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.003, Fz = -0.002
Body 21: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.001
Body 22: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.000, Fz = -0.001
Body 23: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.001, Fz = -0.001
Body 24: x = ******, y = ******, z = -0.055, Fx = -0.002, Fy = -0.000, Fz =  0.000
Body 25: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.003, Fz = -0.000
Body 26: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz = -0.004
Body 27: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.000, Fz = -0.000
Body 28: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz = -0.000
Body 29: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz =  0.001
Body 30: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz =  0.001
Body 31: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz =  0.002
Body 32: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.000, Fz = -0.000
Body 33: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.002, Fz = -0.000
Body 34: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.000, Fz =  0.002
Body 35: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.002
Body 36: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.003, Fz = -0.001
Body 37: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.000, Fz =  0.000
Body 38: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.001, Fz = -0.000
Body 39: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.000, Fz =  0.000
Body 40: x = ******, y = ******, z = ******, Fx = -0.003, Fy = -0.000, Fz =  0.000
Body 41: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.001
Body 42: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.003, Fz = -0.000
Body 43: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.001, Fz =  0.001
Body 44: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.000, Fz =  0.002
Body 45: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.001, Fz =  0.000
Body 46: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.002, Fz = -0.003
Body 47: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.000, Fz =  0.002
Body 48: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz = -0.002
Body 49: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.001
Body 50: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.000, Fz =  0.000
Body 51: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.003, Fz = -0.001
Body 52: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.003, Fz =  0.001
Body 53: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz =  0.003
Body 54: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.000
Body 55: x = ******, y = ******, z = ******, Fx = -0.003, Fy = -0.000, Fz =  0.001
Body 56: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.001, Fz =  0.002
Body 57: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.000, Fz =  0.003
Body 58: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz = -0.003
Body 59: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.003, Fz =  0.000
Body 60: x = ******, y = ******, z = ******, Fx = -0.003, Fy = -0.001, Fz = -0.000
Body 61: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.000, Fz = -0.000
Body 62: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz =  0.002
Body 63: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.003, Fz =  0.000
Body 64: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz =  0.001
Body 65: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.003, Fz =  0.001
Body 66: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.000, Fz =  0.001
Body 67: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz = -0.001
Body 68: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.003, Fz =  0.001
Body 69: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.001, Fz = -0.000
Body 70: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz =  0.001
Body 71: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz = -0.000
Body 72: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.002
Body 73: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.000, Fz = -0.002
Body 74: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.000, Fz = -0.001
Body 75: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz =  0.002
Body 76: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz = -0.001
Body 77: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.003, Fz = -0.002
Body 78: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.000, Fz = -0.000
Body 79: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.000, Fz =  0.003
Body 80: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.001
Body 81: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.000
Body 82: x = 70.016, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.002
Body 83: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.002, Fz =  0.000
Body 84: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.003, Fz = -0.001
Body 85: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.003, Fz = -0.000
Body 86: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz = -0.000
Body 87: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.001, Fz = -0.001
Body 88: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.000, Fz =  0.001
Body 89: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.002, Fz =  0.000
Body 90: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.000, Fz =  0.001
Body 91: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.001, Fz =  0.002
Body 92: x = 37.608, y = ******, z = ******, Fx = -0.000, Fy = -0.000, Fz = -0.001
Body 93: x = ******, y = ******, z = ******, Fx = -0.005, Fy = -0.009, Fz =  0.004
Body 94: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz = -0.001
Body 95: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz = -0.000
Body 96: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.000
Body 97: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.002, Fz =  0.001
Body 98: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.001, Fz =  0.003
Body 99: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.000, Fz =  0.002
Body 100: x = ******, y = 37.241, z = ******, Fx = -0.000, Fy =  0.000, Fz = -0.001
Body 101: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz =  0.000
Body 102: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.001, Fz =  0.003
Body 103: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.003, Fz =  0.000
Body 104: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.003, Fz =  0.000
Body 105: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.001, Fz =  0.000
Body 106: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.000, Fz =  0.011
Body 107: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.003, Fz =  0.002
Body 108: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.002
Body 109: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz =  0.000
Body 110: x = 80.766, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz =  0.000
Body 111: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz = -0.002
Body 112: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz =  0.000
Body 113: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.001, Fz =  0.000
Body 114: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.000, Fz =  0.003
Body 115: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.003, Fz =  0.000
Body 116: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz = -0.003
Body 117: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.003, Fz =  0.000
Body 118: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz = -0.001
Body 119: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.000, Fz =  0.000
Body 120: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.002, Fz =  0.000
Body 121: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz =  0.001
Body 122: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz =  0.003
Body 123: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.002, Fz =  0.001
Body 124: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz =  0.002
Body 125: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.001
Body 126: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.001
Body 127: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.001
Body 128: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz = -0.000
Body 129: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz =  0.003
Body 130: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.000, Fz = -0.002
Body 131: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.003, Fz = -0.001
Body 132: x = ******, y = ******, z = 72.576, Fx = -0.001, Fy = -0.002, Fz =  0.000
Body 133: x = ******, y = ******, z = -6.564, Fx = -0.002, Fy =  0.000, Fz =  0.000
Body 134: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.000, Fz =  0.002
Body 135: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz =  0.001
Body 136: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.002, Fz =  0.003
Body 137: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.000, Fz =  0.003
Body 138: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz = -0.002
Body 139: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.003, Fz =  0.001
Body 140: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz = -0.001
Body 141: x = ******, y = ******, z = ******, Fx =  0.003, Fy =  0.001, Fz =  0.000
Body 142: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.000, Fz = -0.001
Body 143: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz =  0.002
Body 144: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz =  0.001
Body 145: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.003, Fz =  0.001
Body 146: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.001
Body 147: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.000, Fz = -0.001
Body 148: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.002
Body 149: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.001, Fz =  0.002
Body 150: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.002, Fz = -0.001
Body 151: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz = -0.000
Body 152: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.000
Body 153: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.001, Fz = -0.002
Body 154: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz =  0.002
Body 155: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.000
